QX0026  thickness=14.08
 1.0000000     0.0000000
 0.9961806     0.0011073
 0.9899589     0.0029022
 0.9831229     0.0048524
 0.9756703     0.0069305
 0.9675728     0.0091297
 0.9588729     0.0114886
 0.9496652     0.0140020
 0.9400501     0.0166541
 0.9301092     0.0194240
 0.9199193     0.0222909
 0.9095326     0.0252394
 0.8989942     0.0282508
 0.8883404     0.0313132
 0.8775948     0.0344143
 0.8667881     0.0375389
 0.8559512     0.0406756
 0.8451134     0.0438099
 0.8342937     0.0469302
 0.8235065     0.0500297
 0.8127650     0.0530997
 0.8020720     0.0561335
 0.7914295     0.0591276
 0.7808428     0.0620770
 0.7703143     0.0649756
 0.7598426     0.0678190
 0.7494287     0.0706043
 0.7390749     0.0733258
 0.7287777     0.0759782
 0.7185300     0.0785591
 0.7083278     0.0810673
 0.6981672     0.0834995
 0.6880407     0.0858538
 0.6779405     0.0881301
 0.6678623     0.0903286
 0.6578031     0.0924478
 0.6477574     0.0944868
 0.6377194     0.0964456
 0.6276865     0.0983254
 0.6176580     0.1001253
 0.6076311     0.1018441
 0.5976017     0.1034821
 0.5875685     0.1050405
 0.5775327     0.1065188
 0.5674932     0.1079159
 0.5574478     0.1092316
 0.5473954     0.1104670
 0.5373380     0.1116223
 0.5272764     0.1126963
 0.5172090     0.1136884
 0.5071354     0.1145997
 0.4970578     0.1154302
 0.4869765     0.1161782
 0.4768875     0.1168428
 0.4667863     0.1174256
 0.4566743     0.1179291
 0.4465558     0.1183533
 0.4364323     0.1186968
 0.4263029     0.1189600
 0.4161698     0.1191447
 0.4060396     0.1192514
 0.3959170     0.1192785
 0.3858026     0.1192244
 0.3756979     0.1190905
 0.3656091     0.1188772
 0.3555413     0.1185825
 0.3454951     0.1182045
 0.3354710     0.1177436
 0.3254746     0.1172006
 0.3155113     0.1165736
 0.3055826     0.1158602
 0.2956888     0.1150605
 0.2858356     0.1141752
 0.2760295     0.1132027
 0.2662723     0.1121400
 0.2565656     0.1109873
 0.2469157     0.1097455
 0.2373304     0.1084126
 0.2278122     0.1069858
 0.2183641     0.1054656
 0.2089950     0.1038532
 0.1997128     0.1021457
 0.1905210     0.1003414
 0.1814259     0.0984423
 0.1724388     0.0964485
 0.1635681     0.0943585
 0.1548206     0.0921744
 0.1462128     0.0899037
 0.1377664     0.0875487
 0.1294962     0.0851093
 0.1214164     0.0825934
 0.1135516     0.0800118
 0.1059262     0.0773697
 0.0985577     0.0746750
 0.0914668     0.0719448
 0.0846796     0.0691946
 0.0782161     0.0664350
 0.0720883     0.0636825
 0.0663079     0.0609566
 0.0608838     0.0582706
 0.0558153     0.0556341
 0.0510942     0.0530598
 0.0467102     0.0505578
 0.0426504     0.0481314
 0.0388975     0.0457801
 0.0354303     0.0435051
 0.0322274     0.0413078
 0.0292698     0.0391857
